,text_ek
3460,"< a href = "" <url> class = "" u - url mention "" rel = "" nofollow noopener noreferrer "" target = "" _blank "" > @defunddc </a> < a href = "" <url> class = "" u - url mention "" rel = "" nofollow noopener noreferrer "" target = "" _blank "" > @a </a> i rather doubt that her point was that some people make an effort to "" cash in "" on misfortunes , who were not actually victimized . as for my mother ' s family , they fled germany for their lives , pretty much as we saw frightened afghans crowded into that american evacuation plane - - after being prominent citizens of their city for decades . from what i read of her "" offenses "" in the linked article , it sounds as if she did not think that what happened actually occurred , and that is a voice of ignorance , which should be allowed to bray so that it may be refuted properly with evidence from those who know better than she . < br / > < br / > she sounds like a garden - variety , ignorant person with a blind hatred of "" jews "" to me , who probably just never knew anybody jewish except very unpleasant people who made her tar all of us with the same brush . < br / > < br / > but silencing her , or attempting to punish her by retaliatory force for holding and expressing an incorrect and unpleasant opinion is precisely the thinking of those who shoveled the corpses of six million jews into incinerators - - and the only way to prevent such outrages is political liberty , and that includes suffering fools like her to bray all they wish . < br / > < br / > ( that does not mean i have to subject myself to hearing them : for example , i just blocked someone who hurled some disgusting comment into this thread , and will never have to hear from him again on gab . )"
500,"the fact is , official nazi works taught both anti - semitic and anti - christian doctrines <sad> br / > < br / > “ if one believes the anti - semitic , one should also believe the anti - christian , for both had a single purpose . hitler ’ s aim was to eradicate all religious organizations within the state and to foster a return to paganism ” ( dimont , <number> , p . <number> ) . < br / > < br / > more documents that prove nazi ’ s planned to “ eliminate christianity and convert its followers to an aryan philosophy ” are now on the online version of rutgers journal of law and religion ( hotchkin , <number> , p . <number> ) . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a>"
17044,"slaughter of a dynasty michael walsh . covertly sponsored by wall street banks and the white house the bolsheviks in <number> - <number> seized tsarist russia ( regime change ) . for <number> years news of bolshevik atrocities and <number> million martyred christians were censored by western media . slaughter of a dynasty draws on russian sources . lavishly illustrated , this expose reveals secrets removed from western history books . amazon and kindle books michael walsh bookstore < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a>"
16860,"asked if he still “ honors ” adolf hitler , karl hollander , a former ss lieutenant said , “ i still do . "" < br / > when former waffen ss kurt sametreiter was asked if <number> million jews were killed during the holocaust , he denied it . < br / > “ that ’ s a joke , ” he said . “ i don ’ t believe it . i will not believe it . it can ’ t be . today they say . excuse me , but it ’ s the jew who puts it like that . the scale that is claimed today , i deny that , too . i deny it . it didn ’ t happen . ” < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > a - german - nazis - have - shockingly - few - regrets / </span> < span class = "" ellipsis "" > </span> </a>"
17277,"jewish banker jacob schiff using japan as a puppet to finance and to support communist revolutionaries in russia during the russo - japanese war . part <number> < br / > < br / > < br / > the russo - japanese war started in early <number> . during this period , communist extremists took advantage of it by trying to foment a revolution that would overthrow the tsar . it was in the interest of japan to try to cause as much disruption and instability as possible in russia and thus it was in the interest of japan to support this destructive element in russia . but however , i believe japan was being used as a puppet for this very purpose and was being guided . this act of subversion is a common tactic of the jew . < br / > < br / > who was financing the war effort of japan against russia during the russo - japanese war ? < br / > < br / > the main financier of japan during this war was the jewish banker , jacob schiff . < br / > japan was looking for investors to fund their war effort but was struggling to find any at first . they faced rejection from all british investment houses . but schiff however came to their rescue . < br / > japan had raised <number> million dollar for their war effort , schiff ' s kuhn , loeb had sent japan <number> million dollars . schiff singlehandedly financed half of japan ' s military effort . schiff played a very important role in making japan into one of the world ' s greatest power in the early 2 0 th century . schiff was honored by japan . schiff was the first foreign private citizen to have a meal in the japan ' s imperial place . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > he was also awarded order of the sacred treasure and the order of the rising sun , gold and silver star , the second highest of the eight classes of that order . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > schiff did not obviously finance japan because of his love for the japanese but did it because of his hatred of russia because of their opposition to jewry . he wanted to see the downfall of russia and was using japan to accomplish this . < br / > < br / > schiff in <number> had complained that ' jewish high finance in europe ' had the ability <number> or <number> years earlier to make head against russia but decided not to for profit and was vehemently against any jewish bankers making deals with russia . <repeated> < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > schiff had hoped that the war would result in the creation of a constitutional government in russia so that the ' russian jewish question ' could be solved . in other words , granting jews emancipation in russia . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > then it is only natural for schiff to be very sympathetic to the cause of jewish communism because like him , they had the same agenda . the emancipation of jews and to bring down the tsar . thus , schiff was one of the main financiers of the bolshevik revolution . according to the grandson of schiff , he had given <number> million for the triumph of communism in russia a decade later . a huge amount of sum of money given the time . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > end of part <number> < br / > < br / > part <number> : < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a>"
21985,"the germans had a very good reason to be angry at the jews < br / > < br / > the jews took over russia and used it to export communism and destabilize europe - they specifically tried to topple germany < br / > < br / > germans understandably fought back < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > <percent> e2 % <percent> <number> </span> < span class = "" ellipsis "" > </span> </a>"
11255,"chabad rebbe schneerson quotes chabad rabbi zusya <sad> br / > < br / > "" when moshiach comes , the jewish people will go out to greet him with tanya ( chabad ' doctrine ' ) in hand . "" < br / > < br / > text page <number> < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > xile_to_redemption_vol_2 . pdf </span> < span class = "" ellipsis "" > </span> </a> < br / > < br / > tanya < br / > < br / > "" the root and source of all jewish souls is in the supreme wisdom . <repeated> the kelipot and sitra achra ( non - jews ) are called vomit and filth , as is known . < br / > < br / > chapter <number> , last para < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > <number> / jewish / chapter - <number> . htm </span> < span class = "" ellipsis "" > </span> </a> < br / > < br / > putin ' s rabbi berel lazar <sad> br / > < br / > "" our strategy is spelled out in the talmud . "" < br / > < br / > 3 0 th para < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > talmud unmasked : in zohar ( i , 2 5 a ) <sad> br / > < br / > "" destroy the memory of the amalekites . they are with us still in this fourth captivity , namely , the princes [ of rome ] . . . who are really amalakites . "" < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > </span> </a> < br / > < br / > jews explain how they are commanded to exterminate western civilization < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > <number> </span> < span class = "" ellipsis "" > </span> </a> < br / > < br / > russian political scientist andrei piontkovsky , warns putin is a jewish talmudist and is intertwined with a jewish doomsday sect ( chabad lubavitch ) whose goal is to advance the coming of the jewish messiah . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > ievesti . ru / moda / andrew - piontkovsky - political - scientist - recent - andrei - piontkovsky - defeat - of - putin / </span> < span class = "" ellipsis "" > </span> </a>"
1862,"🔥 💥 💎 news alert ! <repeated> russia has broken free from the nwo central banking system 💎 💥 🔥 < br / > < br / > it ' s no wonder the deep state try to blame everything on russia . <repeated> < br / > < br / > in a statement about the news , mr . putin said his country is finally free from the “ icy grip ” of the rothschild banking cartel and new world order cabal . < br / > < br / > two years previous , president putin prohibited jacob rothschild and his new world order banking cabal from operating in russian territory “ under any circumstances . ” < br / > < br / > now , following his current election success , putin has vowed to continue “ unburdening ” russia ’ s economy from the dangerous monopoly of the us dollar in order to guarantee russian sovereignty in an increasingly globalized world . <repeated> < br / > full article below 👇 < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > al - independence - from - rothschild - controlled - us - dollar / </span> < span class = "" ellipsis "" > </span> </a>"
5959,"go jump in the lake , adl < br / > < br / > i do not know what to say anymore about the endless attacks from the adl , the < a href =""/ tags / talmudicmafia "" class = "" mention hashtag "" rel = "" nofollow noopener noreferrer "" target = "" _blank "" > <hashtag> talmudic mafia </hashtag> </a> , and the unspeakable gall these totalitarian gangsters have . < br / > they accuse everybody else of what they themselves are outrageously guilty of . < br / > if you can not see it ? will not see it ? are too scared to see it ? convinced the bible tells you these impostor ' jews ' are god ' s chosen people , and to go against them is to go against god ? taken in by psy - ops appeals to raw emotion ? not historical facts ? fooled by "" schindler ' s list "" ( based on a novel that the australian writer flat out admits is fiction ) , and the endless procession of carefully chosen , so - called "" holocaust survivors "" ? < br / > endlessly de - bunked ? <repeated> < br / > < br / > then , truly , i do not know what words i can add . < br / > < br / > andrew torba < a href = "" <url> class = "" u - url mention "" rel = "" nofollow noopener noreferrer "" target = "" _blank "" > @a </a> is reasonable , calm , rational , and perfectly correct in everything he says here . i administer , as best i humbly can , one of several truth - seeking ' holocaust ' groups on gab , and i do not intend to cower into silence . < br / > < br / > i doubt if torba and i will ever share a cell . but maybe we can , one day , wave at each other , in the prison mess hall . < br / > our world has gone , quite literally , insane . barking mad . < br / > a relatively tiny clique , a 5 th column , usurpers , with their paid traitor side - kicks , has seized control of this great country with a crude coup . transparently bogus . < br / > but gab is ' anti - semitic ' because we ask questions ? stop - the - presses ? woe - is - me ? < br / > ' six gorillion ' ? <repeated> < br / > wtf ? < br / > < br / > go jump in the lake , adl . < br / > greg abbott ? i live in texas . i am ashamed of your craven cowardice , sir . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > of - jews - by - attacking - free - speech / </span> < span class = "" ellipsis "" > </span> </a>"
8746,"it ’ s really funny to me how it ’ s so “ taboo ” to point out how marxist jews are working hand in hand with the democrat party and big tech to undermine the us constitution and destroy america . < br / > < br / > it ’ s the truth . and i say this as a jew . < br / > < br / > the jew ’ s worst enemy is the jew himself . < br / > < br / > does the adl think that weaponizing financial blacklisting is going to make people more fond of the jews ? < br / > < br / > idiots . < br / > < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > ners - adl - fight - extremism - and - protect - marginalized - communities </span> < span class = "" ellipsis "" > </span> </a>"
