,text_ek
4462,"i just saw a border patrol agent during an interview with infowars tell how a little girl no older than <number> in the background could not speak because she ' d torn her vocal cords screaming while being gang raped by a group of coyotes . < br / > < br / > another little girl next to her said her uncle was going to be her sponsor after her mother paid the cartels <money> and then sent her off alone to the us border . she does not know where her uncle lives or even his name , only that it snows in his state . < br / > < br / > the us border patrol is being forced to be complicit in the trafficking of children to sex slave markets in the usa , and they know it . which is why so many border patrol officers are speaking out and leaking information than any agency has bled before . < br / > < br / > the biden administration is going to hell for this and we should all be rioting . you hear me , kid fuckers and child traffickers are being openly aided by the us federal government , and still we do nothing ? ! <repeated>"
21061,"joe biden ’ s radical plan to implement the largest tax hike in american history is a massive giveaway to china , and many other countries , that will send thousands of factories , millions of jobs , and trillions of dollars to these competitive nations . the biden plan will crush american workers and decimate u.s. manufacturing , while giving special tax privileges to outsourcers , foreign and giant multinational corporations . < br / > < br / > biden promised to “ build back better ” — but the country he is building up , in particular , is china and other large segments of the world . under the biden administration , america is once again losing the economic war with china — and biden ’ s ludicrous multi - trillion dollar tax hike is a strategy for total economic surrender . sacrificing good paying american jobs is the last thing our citizens need as our country recovers from the effects of the global pandemic . < br / > < br / > biden ’ s policy would break the back of the american worker with among the highest business tax rates in the developed world . under biden ’ s plan , if you create jobs in america , and hire american workers , you will pay more in taxes — but if you close down your factories in ohio and michigan , fire u.s. workers , and move all your production to beijing and shanghai , you will pay less . it is the exact opposite of putting america first — it is putting america last ! < br / > < br / > companies that send american jobs to china should not be rewarded by joe biden ’ s tax bill , they should be punished so that they keep those jobs right here in america , where they belong . < br / > < br / > this legislation would be among the largest self - inflicted economic wounds in history . if this monstrosity is allowed to pass , the result will be more americans out of work , more families shattered , more factories abandoned , more industries wrecked , and more main streets boarded up and closed down — just like it was before i took over the presidency <number> years ago . i then set record low unemployment , with <number> million people working . < br / > < br / > this tax hike is a classic globalist betrayal by joe biden and his friends : the lobbyists will win , the special interests will win , china will win , the washington politicians and government bureaucrats will win — but hardworking american families will lose . < br / > < br / > joe biden ’ s cruel and heartless attack on the american dream must never be allowed to become federal law . just like our southern border went from best to worst , and is now in shambles , our economy will be destroyed !"
17163,help me understand . <repeated> americans are stranded in mexico because they can not get a covid test that the us government is requiring them to travel back to the us . <repeated> but illegals can cross the border by the thousands with no test needed ? 🤔
16118,the hijacking of american military c - 1 7 s by open borders inc . and the refugee resettlement racket is complete . just announced this morning : refugee airlines will now be flying <number> - <number> afghans per day onto american soil .
2891,"crime in our country is escalating at a pace we ’ ve never seen before . at the same time , people are pouring through our borders totally unchecked . jails in other countries are being emptied out into the united states . this is far worse than anyone thought during the fake election !"
13578,"there has never been , in our country ’ s history , a border catastrophe like what is currently taking place at our southern border . all biden had to do is leave it the way it was , by far the strongest southern border our country has ever had . millions of people will now be streaming into our country unchecked , unvetted , and unknown . other countries are emptying their prisons with their worst criminals flowing into our country . drugs , gangs , and fugitives are pouring in every day . hospitals , schools , communities , and police are overwhelmed . this is far more than a crisis — our country is being destroyed !"
6173,mexico is less than <percent> vaccinated yet i don ’ t see any push to close that southern border from the left . < br / > < br / > democrats must not be too worried about covid after all .
5402,the president of mexico has now even stated that biden ’ s policies are leading to the crisis at the border . < br / > < br / > i never thought i ’ d see the day where the mexican president is more concerned about illegal immigration into america than the american “ president ” .
10322,is the reason democrats are opening the borders and flooding the country with illegal immigrants ( untested for covid ) is because they want another spike in the virus ? so they can put us on more lockdowns and worse ?
6326,project vertias just posted pictures from the border
